date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2024-09-21,Australia,New Zealand,28,31,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-09-21,USA,Samoa,13,18,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2024-09-21,Fiji,Japan,41,17,5.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-09-21,Argentina,South Africa,29,28,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0
2024-09-28,South Africa,Argentina,48,7,7.0,1.0,5.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-09-28,New Zealand,Australia,33,13,5.0,1.0,4.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-10-06,Chile,Brazil,36,10,5.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-26,Japan,New Zealand,19,64,3.0,10.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,England,New Zealand,22,24,1.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
2024-11-02,Scotland,Fiji,57,17,8.0,3.0,7.0,1.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-11-05,United Arab Emirates,Zimbabwe,22,62,3.0,9.0,2.0,7.0,2.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
